greeter	screener	dispenser	medic	resources	throughput	time
16	12	41	3	72	3081.66666667	30.9129092227
16	14	41	1	72	3089.66666667	37.4341770294
4	14	41	14	73	2444.66666667	23.5410991975
18	10	41	4	73	3028.33333333	26.7932104219
16	12	41	4	73	3070.0	29.2156932087
13	13	41	6	73	3145.33333333	30.1393939271
18	10	41	5	74	2983.33333333	26.453400659
16	14	41	3	74	3148.0	35.9040302596
18	13	41	2	74	3156.66666667	36.3460405185
13	14	46	1	74	3357.33333333	36.638462687
4	24	41	6	75	2470.33333333	23.6053561731
5	24	41	5	75	3013.0	26.2300195535
8	14	46	7	75	3084.66666667	29.9210592913
18	13	41	3	75	3155.33333333	31.9629953239
5	24	41	6	76	2997.66666667	24.0587646156
21	10	41	4	76	3042.0	25.3715787822
18	13	41	4	76	3157.33333333	28.2512399299
13	14	46	3	76	3366.0	36.0756331316
18	13	41	5	77	3165.66666667	27.1246578122
9	14	47	7	77	3191.33333333	30.1181239876
16	12	46	3	77	3251.33333333	32.0807912385
13	14	47	3	77	3370.33333333	36.9430275921
16	14	46	1	77	3440.33333333	39.7499688715
21	10	41	6	78	3026.66666667	24.7117872447
16	12	46	4	78	3232.33333333	29.8510397643
13	14	47	4	78	3422.0	32.394411919
16	14	47	1	78	3543.66666667	32.5868146023
20	12	41	6	79	3113.0	26.2169089768
16	12	47	4	79	3207.33333333	28.7889049794
16	12	46	6	80	3247.33333333	27.5500066285
13	14	47	6	80	3402.0	29.2036175916
7	24	47	2	80	3559.66666667	45.1953218133
8	24	47	1	80	3607.0	49.159262078
13	14	47	7	81	3412.33333333	28.8267637778
16	14	47	4	81	3537.33333333	29.0705005529
9	24	47	1	81	3592.0	45.9504131707
4	24	47	7	82	2463.33333333	23.5354529837
16	12	47	7	82	3219.66666667	27.0879369899
16	14	46	6	82	3454.66666667	27.4581636948
16	14	47	5	82	3465.66666667	28.5679052051
7	24	47	4	82	3555.66666667	33.0798865066
8	24	47	3	82	3602.66666667	38.6459064195
5	24	47	7	83	3049.0	22.2690158444
7	24	46	6	83	3449.0	27.0668887635
16	14	47	6	83	3497.0	27.26003091
8	24	47	4	83	3579.66666667	33.6083058864
7	24	46	7	84	3433.66666667	25.6960965401
16	14	47	7	84	3502.66666667	26.9099480681
7	24	47	6	84	3552.66666667	27.0605495342
9	24	47	4	84	3642.0	34.2581087398
7	24	52	1	84	3986.66666667	40.2675372931
7	24	47	7	85	3603.0	25.4053390303
8	24	47	7	86	3615.0	26.3175189887
8	24	52	2	86	3896.66666667	36.6285838222
9	24	52	1	86	4026.33333333	40.9165797996
21	14	46	6	87	3451.33333333	24.84533243
7	24	52	4	87	3896.0	28.3729362774
8	24	52	3	87	3945.66666667	36.3496600303
5	17	60	6	88	3079.0	23.4943695858
21	14	46	7	88	3438.33333333	24.5456791962
7	24	52	5	88	3901.33333333	27.2127646596
7	26	52	3	88	3978.66666667	34.6641701899
8	24	55	1	88	4205.0	38.4018758788
7	24	52	6	89	3885.0	23.7362878347
8	24	52	5	89	3948.66666667	26.7375017661
7	24	55	3	89	4154.33333333	33.3633942455
5	26	52	7	90	3047.33333333	22.268504776
7	24	52	7	90	3860.0	23.1799722388
8	24	52	6	90	3957.0	24.3360006338
8	24	55	3	90	4119.66666667	33.2052432029
8	26	55	1	90	4205.66666667	35.0450775034
7	24	58	1	90	4280.33333333	36.896294778
8	24	57	1	90	4286.66666667	45.77407823
8	24	52	7	91	3982.33333333	24.3786606814
8	26	52	5	91	4026.66666667	32.736806836
